,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13
_2000_Jerry Stackhouse,4.732541659559765,-0.16085212091262763,0.0820556164860319,0.30677333857238537,0.7169936967467393,-1.1645430010060558,0.5032711694462388,-0.09944379897521682,-0.3673032614256896,-0.13922272234751093,0.6145317383456773,1.0571264418998196,-0.24397400209365802
_2000_Alonzo Mourning,4.655513815037669,2.3480575756386433,-0.4476200627668767,0.4397933839472139,1.0017395365235076,-0.6316039906523192,0.12447280823754259,0.44927671863878144,-0.34278782235562427,-0.3491759077648861,0.760221200321027,0.8115552289092743,0.30162822852159155
_2000_Tim Duncan,5.0726109258975915,2.2218312533933693,-0.22489412011856777,0.7953365613322433,1.0204148363913892,-0.024862499713780475,-0.057883925256434224,0.5398717871326032,-0.8043587286150199,-0.5348001727202101,0.4981353075174686,0.6998847365176435,0.031013781429228192
_2000_Kevin Garnett,5.259489551229677,1.5449500933687543,-0.38322612492623986,0.7807196841122587,0.5442714759072276,0.2002387805167328,0.31629647303492225,0.7946894790424839,-0.9095275826008752,-0.5795010316229485,0.6456124122723336,0.5518319769517729,-0.16796010992752072
_2000_Alan Henderson,3.2114022165315617,1.3416609978326022,-0.3185188354299594,-0.12644909152433972,-0.16984140454712288,-0.8082489438217428,0.22276770245147307,0.5259019277596949,-0.3183288113471838,-0.21029068015406802,0.359321545509503,0.7826520431299636,-0.4161780398907496
_2000_Michael Finley,4.6763776308716976,-0.050133597972555635,-0.45152430356135986,0.3557907378547265,0.2797730448796165,-0.39561526511528106,0.5883409747143724,0.6021514407164933,-0.5435279764428317,-0.5343406131241103,0.3285318187853125,0.5536821034911319,-0.28817132530111944
_2000_Kobe Bryant,4.4120845751195805,0.3860361793832643,-0.5478790446458285,1.0405811154503797,1.0929152835699067,-0.49077057169226934,0.28877968524350683,0.3562067982975374,-0.37875079088667957,-0.008345363819062472,0.46202861242238946,1.1356418561712662,-0.2553692717731124
_2000_Stephon Marbury,4.665621492475182,-0.35246337920595905,0.4089837150048159,0.8761155480746027,0.4341731954133097,-0.7125554751100813,0.575660524840565,0.3809549242545002,-0.3916459114259524,-0.4592467984345026,0.5925355887757616,0.9128124742914167,-0.1745126602486701
_2000_Ray Allen,4.489237227081463,-0.5858664459043855,-0.8579158739578635,0.017927453734025295,0.7677700597063908,-0.7557006861137812,0.6354801340273141,0.43223312549327686,-0.21003463171059644,-0.590030678369072,0.5684579068067394,1.0303558873370948,-0.5310425300342478
_2000_Allan Houston,3.957058634351346,-0.3163037136436853,-0.8867876645804705,0.22920684128102392,0.615334581129852,-1.0159217317082427,0.16765464706916566,0.625432819329328,-0.058673419074915356,-0.32140596089591944,0.7992317221490942,0.9574664248878291,-0.082915505866235
_2000_Glenn Robinson,4.213308914242212,0.22521533033878008,-0.6826160818796501,0.03407750806612944,0.671322650337687,-0.6963496708069854,0.46610935413885596,0.3964368915066262,-0.35086812541420553,-0.40284531182660027,0.582246365213729,0.8433776789348638,-0.10778483634937759
_2000_Antoine Walker,4.620130588004123,0.608242361906552,-0.2476167136605024,0.13456919165680797,0.3374167264955321,-0.2859733313113165,0.5685301291173207,0.06569325649525737,-0.45919957353929014,-0.5515238361322912,0.5982104719873023,0.8895037481159764,-0.3809964363254968
_2000_Andre Miller,3.160854799515761,0.19320108851948423,0.2234339341304251,1.1304337991684346,0.05916401809830804,-0.8114568542443352,0.5805537315303345,0.526276713429612,-0.6905767743250731,-0.6097386854665107,0.6412829282329642,0.8635700984687811,-0.3653616788210404
_2000_Shareef Abdur-Rahim,4.680196507345339,1.3666609886480046,0.07349351413932764,-0.07337280493085566,0.10241529358783504,-0.34169253343279704,0.3186398366019452,0.8022763340745478,-0.7637458879620692,-0.5472682674704747,0.6695762762963462,0.9095691112020539,-0.2214804463290271
_2000_Elton Brand,4.329153294871837,2.095548149630206,0.4087687428605857,-0.36729695492836767,-0.01823969124107419,-0.5853570271708941,0.1592621615161875,0.6526930288644024,-0.40065434779412745,-0.6412676895654703,0.645373722665661,0.6486229963632303,-0.3037033330182016
_2000_David Robinson,4.299864710738945,2.101487909177769,-0.5949716713278731,0.7784540902285995,0.9130126702670206,-0.3723638452957998,-0.01647103986897279,0.4333966544328839,-0.5062941261536554,-0.38756035737301925,0.6140297437305068,0.8917703243837736,-0.3985092650080764
_2000_Eddie Jones,4.373990615111074,-0.4658176107117829,-0.8325698179393636,0.6611953684745132,0.7384621015909871,-0.37926826697406424,0.5409764374008872,0.2324377468461773,-0.17339824577926444,-0.10713346910707829,0.4438878695526862,1.3316017036101062,-1.0487785952369426
_2000_Andrew DeClercq,2.2317934253347245,1.4740389840398007,-0.6550220310275717,0.31185927147991416,-0.06496349155852987,-0.7947805718079484,0.7874105529295699,0.17005324073583009,-0.37606820764847587,-0.32177533410000175,0.5063540380619476,1.0565483352750462,-0.2688422958384144
_2000_Antawn Jamison,3.0667424795661367,1.1770564621710546,0.3278905067754957,-0.13845776389330688,0.7069823119705063,-0.3494502776996654,0.5861228994533613,0.7629222447959709,-0.25760209302320897,-0.023180061906554986,0.32337157427529273,0.6263971568852312,-0.12141772318761378
_2000_Anthony Mason,3.648209499373284,1.1598423572895071,-0.5278332575473789,1.1169674732764943,-0.08040017229106022,-0.453781680998907,0.32251133641482777,0.6620784379207214,-0.6339079083080864,-0.6237583012033319,0.0730360042674505,0.9098615739534776,-0.061407459947968104
_2000_Paul Pierce,4.220314229208065,0.037872493899231946,-0.5653498687089424,0.3165512989768059,0.6861029376132353,-0.4929965275887859,0.6629494565384669,0.16298186453461452,-0.3086180089440789,-0.0740669168637509,0.5675836476794409,1.3045151743679093,-0.7366231351261778
_2000_Antonio McDyess,4.184004723830813,1.8595626126025382,0.027111886849695233,0.11206462099658233,0.32561928371447996,-0.7407456164056171,0.48830968675981573,0.23990243195837413,-0.42456220001001327,-0.30608295180243617,0.5811046533880861,0.777197561987105,-0.015940522266091814
